"id","NomDeLieu","Coordonnees","ImageLink","Image"
1,"Institut Universitaire de Technologie Nancy-Charlemagne","48.682832365898065, 6.160915474068931","https://i.ytimg.com/vi/f3n6d4Ufk1U/maxresdefault_live.jpg","083566ea-156f-4c15-9918-e7a35c7e078a"
2,"Musée des Beaux-Arts de Nancy","48.693424449789845, 6.18235708015418","https://th.bing.com/th/id/R.ffa2da458031ec0d61c7aa59d49bb506?rik=73eXDK5WOPvL4A&pid=ImgRaw&r=0","953bd5fd-f08e-45b2-b7a4-87cc5c9104bd"
3,"Place Stanislas","48.693591520538284, 6.183256407872048","https://i0.wp.com/viajealpatrimonio.com/wp-content/uploads/2020/05/0787-plaza-stanislas-plaza-de-la-carriere-y-plaza-de-la-alliance-en-nancy.jpg?ssl=1","89dc0ac3-106c-45d5-a45d-ff4851ff6f6c"
4,"Muséum-Aquarium de Nancy","48.69494278954815, 6.188208227231793","https://www.archi-wiki.org/images/thumb/9/91/34_rue_Sainte_Catherine_(entr%C3%A9e)_DSC04646.jpg/1200px-34_rue_Sainte_Catherine_(entr%C3%A9e)_DSC04646.jpg","91591dee-1ed9-42b4-9523-0bbd1c63b31e"
5,"Porte Désilles","48.69795826200955, 6.174147932837996","https://media-cdn.tripadvisor.com/media/photo-s/14/af/43/c3/porte-desilles.jpg","8e24f467-f60a-4faf-80cf-6b9098d3371e"
6,"Cathédrale Notre-Dame-de-l'Annonciation","48.69152293745179, 6.185881740741304","https://live.staticflickr.com/3164/3098725110_0f37479776_b.jpg","4795de99-9186-4d6f-ad28-2ef21741c748"
7,"Place de la Carrière","48.695472533103384, 6.181937812540744","https://api.cloudly.space/resize/crop/1200/627/60/aHR0cHM6Ly93d3cuc2l0bG9yLmZyL3Bob3Rvcy83MzcvcGxhY2VfZGVfbGFfY2FycmllcmUuanBnPzIwMjEtMDYtMjJUMTU6NDI6MjJa/image.jpg","b3ffbe40-945e-4c1c-af24-832e512a4935"
8,"Basilique Saint-Epvre","48.69599490358903, 6.179917353344213","https://th.bing.com/th/id/R.f3da826715a8428a23f9421319e04d3c?rik=yEjlpTxxd%2beorA&riu=http%3a%2f%2flusile17.l.u.pic.centerblog.net%2fo%2fc8b40538.jpg&ehk=FKlylTb%2ffOKWDvalqpX5FQN4vXQqlBR79zBcaLfSBqQ%3d&risl=&pid=ImgRaw&r=0","30af31e8-a9c9-4fca-899e-ee9fdd7ddd17"
9,"Villa Majorelle","48.68551177619868, 6.163866130030894","https://th.bing.com/th/id/OIP.8RzG0_gbx6N2P59VpOXSagHaEk?rs=1&pid=ImgDetMain","f37e161a-6ce9-4b50-be36-bccc3c2fa354"
10,"Parc de la Pépinière","48.69777125210572, 6.184606276657545","https://frenchmoments.eu/wp-content/uploads/2012/11/Parc-de-la-P%C3%A9pini%C3%A8re-04-Nancy-%C2%A9-French-Moments.jpg","30d7d82e-0a79-4331-ada4-79648f3697c0"
11,"Parc de la Cure d'Air","48.69338965839723, 6.159951442592517","https://api.cloudly.space/resize/crop/1200/627/60/aHR0cHM6Ly93d3cuc2l0bG9yLmZyL3Bob3Rvcy83MzcvNzM3MDAwMjcxXzQuanBnPzIwMjEtMTItMjFUMTE6Mzk6NDha/image.jpg","b72ce138-febd-44f6-b23f-0b6f9ee682d0"
12,"Centre Commercial Saint Sébastien","48.688008779213945, 6.18067681830613","https://media-cdn.tripadvisor.com/media/photo-s/14/af/ea/6d/centre-commercial-saint.jpg","3273f8f7-e12b-4c2b-bc70-2604d2242599"
13,"Gare de Nancy","48.68979199096487, 6.17440457810537","https://s3-media4.fl.yelpcdn.com/bphoto/fXtPxdpgpHr9RHB-Je-L6Q/o.jpg","a91d5134-c9f7-4c6d-aaab-b62a19d74ba8"
14,"Basilique du Sacré-Cœur de Nancy","48.685549660386386, 6.162462574356138","https://th.bing.com/th/id/R.5ff55d576be674cdbb45aecd98a3faed?rik=JlZd9fGH6KJUJA&riu=http%3a%2f%2fphotos.wikimapia.org%2fp%2f00%2f01%2f68%2f26%2f37_big.jpg&ehk=U7mJ1UYZw%2bsFL31cbbDb5PnjnqP8Ca%2b3kjaR8Tpx5Hg%3d&risl=&pid=ImgRaw&r=0","ebe21770-8dab-429c-ad74-8c6e773d9365"
15,"Église Saint-Léon de Nancy","48.68927666848419, 6.1720714849639675","https://th.bing.com/th/id/OIP.-EvWoogHdOjjQTwMAaH8zwAAAA?w=384&h=547&rs=1&pid=ImgDetMain","3f54aabf-d457-494c-98d0-89602244453e"
16,"Nancy Thermal","48.67916323170875, 6.168723692084355","https://th.bing.com/th/id/R.98072a4bf1a9d532bdb8f0081a6f6118?rik=uARF5UMHDtuiig&riu=http%3a%2f%2fdha.eu%2fwp-content%2fuploads%2f2018%2f10%2f05.106.38.jpg&ehk=F93hYCSX%2f%2fbwFxNS78lk5VvilbZluJcchdrp9C2szMU%3d&risl=&pid=ImgRaw&r=0","5d714326-5794-4752-a7e1-1d2bf1ec6b09"
17,"Jardin Botanique Jean-Marie Pelt","48.662758, 6.155456","https://geo.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2Fgeo.2F2019.2F06.2F28.2F30f4f11e-f80b-4698-9534-7ffddc83e4e8.2Ejpeg/1150x660/background-color/ffffff/quality/10/a-villers-les-nancy-lextraordinaire-ja","ee21072f-38c7-4f54-998d-4b10c766de6c"
