"id","NomDeLieu","Coordonnees","ImageLink","Image.filename_download","Image.id"
1,"Institut Universitaire de Technologie Nancy-Charlemagne","48.682832365898065, 6.160915474068931","https://i.ytimg.com/vi/f3n6d4Ufk1U/maxresdefault_live.jpg","01.jpg","dd44c7b6-cba3-4c41-b859-4c747305a13a"
2,"Musée des Beaux-Arts de Nancy","48.693424449789845, 6.18235708015418","https://th.bing.com/th/id/R.ffa2da458031ec0d61c7aa59d49bb506?rik=73eXDK5WOPvL4A&pid=ImgRaw&r=0","02.jpg","b6eb5afb-cabf-462a-b88d-784692f4b855"
3,"Place Stanislas","48.693591520538284, 6.183256407872048","https://i0.wp.com/viajealpatrimonio.com/wp-content/uploads/2020/05/0787-plaza-stanislas-plaza-de-la-carriere-y-plaza-de-la-alliance-en-nancy.jpg?ssl=1","03.jpg","a5acadc0-0e3f-4806-a618-15ea4d6e3096"
4,"Muséum-Aquarium de Nancy","48.69494278954815, 6.188208227231793","https://www.archi-wiki.org/images/thumb/9/91/34_rue_Sainte_Catherine_(entr%C3%A9e)_DSC04646.jpg/1200px-34_rue_Sainte_Catherine_(entr%C3%A9e)_DSC04646.jpg","04.jpg","0062e56d-8364-46b7-8f9e-536671ed362b"
5,"Porte Désilles","48.69795826200955, 6.174147932837996","https://media-cdn.tripadvisor.com/media/photo-s/14/af/43/c3/porte-desilles.jpg","05.jpg","868220a9-1084-40da-a1bd-daf06d2c4a72"
6,"Cathédrale Notre-Dame-de-l'Annonciation","48.69152293745179, 6.185881740741304","https://live.staticflickr.com/3164/3098725110_0f37479776_b.jpg","06.jpg","d3beba82-9fed-489f-b7ba-51fee0c080be"
7,"Place de la Carrière","48.695472533103384, 6.181937812540744","https://api.cloudly.space/resize/crop/1200/627/60/aHR0cHM6Ly93d3cuc2l0bG9yLmZyL3Bob3Rvcy83MzcvcGxhY2VfZGVfbGFfY2FycmllcmUuanBnPzIwMjEtMDYtMjJUMTU6NDI6MjJa/image.jpg","07.jpg","60a6e35d-e4c5-4fe1-9ad1-e3cf54d18527"
8,"Basilique Saint-Epvre","48.69599490358903, 6.179917353344213","https://th.bing.com/th/id/R.f3da826715a8428a23f9421319e04d3c?rik=yEjlpTxxd%2beorA&riu=http%3a%2f%2flusile17.l.u.pic.centerblog.net%2fo%2fc8b40538.jpg&ehk=FKlylTb%2ffOKWDvalqpX5FQN4vXQqlBR79zBcaLfSBqQ%3d&risl=&pid=ImgRaw&r=0","08.jpg","77ff8ebf-e2c6-436a-972d-0a213fe84fc8"
9,"Villa Majorelle","48.68551177619868, 6.163866130030894","https://th.bing.com/th/id/OIP.8RzG0_gbx6N2P59VpOXSagHaEk?rs=1&pid=ImgDetMain","09.jpg","a655eb21-2319-480d-966c-b94ed84b030c"
10,"Parc de la Pépinière","48.69777125210572, 6.184606276657545","https://frenchmoments.eu/wp-content/uploads/2012/11/Parc-de-la-P%C3%A9pini%C3%A8re-04-Nancy-%C2%A9-French-Moments.jpg","10.jpg","8528e048-cd41-4fcc-b1a1-00975fe56524"
11,"Parc de la Cure d'Air","48.69338965839723, 6.159951442592517","https://api.cloudly.space/resize/crop/1200/627/60/aHR0cHM6Ly93d3cuc2l0bG9yLmZyL3Bob3Rvcy83MzcvNzM3MDAwMjcxXzQuanBnPzIwMjEtMTItMjFUMTE6Mzk6NDha/image.jpg","11.jpg","0c92b1c8-5a25-4406-af5c-2836b6090030"
12,"Centre Commercial Saint Sébastien","48.688008779213945, 6.18067681830613","https://media-cdn.tripadvisor.com/media/photo-s/14/af/ea/6d/centre-commercial-saint.jpg","12.jpg","987ab78d-b1ca-436a-8f62-58d9d4a3c68b"
13,"Gare de Nancy","48.68979199096487, 6.17440457810537","https://s3-media4.fl.yelpcdn.com/bphoto/fXtPxdpgpHr9RHB-Je-L6Q/o.jpg","13.jpg","5d401198-fcbc-4d52-9173-c82f19966722"
14,"Basilique du Sacré-Cœur de Nancy","48.685549660386386, 6.162462574356138","https://th.bing.com/th/id/R.5ff55d576be674cdbb45aecd98a3faed?rik=JlZd9fGH6KJUJA&riu=http%3a%2f%2fphotos.wikimapia.org%2fp%2f00%2f01%2f68%2f26%2f37_big.jpg&ehk=U7mJ1UYZw%2bsFL31cbbDb5PnjnqP8Ca%2b3kjaR8Tpx5Hg%3d&risl=&pid=ImgRaw&r=0","14.jpg","c73f324a-7d5e-4182-a66c-963e7a664ca1"
15,"Église Saint-Léon de Nancy","48.68927666848419, 6.1720714849639675","https://th.bing.com/th/id/OIP.-EvWoogHdOjjQTwMAaH8zwAAAA?w=384&h=547&rs=1&pid=ImgDetMain","15.jpg","3b1beadd-66d6-4f95-8940-3bda23cafddf"
16,"Nancy Thermal","48.67916323170875, 6.168723692084355","https://th.bing.com/th/id/R.98072a4bf1a9d532bdb8f0081a6f6118?rik=uARF5UMHDtuiig&riu=http%3a%2f%2fdha.eu%2fwp-content%2fuploads%2f2018%2f10%2f05.106.38.jpg&ehk=F93hYCSX%2f%2fbwFxNS78lk5VvilbZluJcchdrp9C2szMU%3d&risl=&pid=ImgRaw&r=0","16.jpg","888d8e57-c6dc-49f9-9366-df2e72257120"
17,"Jardin Botanique Jean-Marie Pelt","48.662758, 6.155456","https://geo.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2Fgeo.2F2019.2F06.2F28.2F30f4f11e-f80b-4698-9534-7ffddc83e4e8.2Ejpeg/1150x660/background-color/ffffff/quality/10/a-villers-les-nancy-lextraordinaire-ja","17.jpg","7360d273-6dcb-45da-bde5-3df2cc5b8d99"
18,"Plage de la Méchelle","48.69226102338772, 6.202397061064616","https://cdn-s-www.estrepublicain.fr/images/B641AA78-4B8E-4544-9AF6-196687C4E853/NW_raw/le-nouveau-site-de-la-mechelle-a-connu-une-frequentation-contrastee-entre-jours-pluvieux-et-temps-plus-estival-photo-er-cedric-jacquot-1629912614.jpg","18.jpg","541be6ab-96ef-46ca-aa13-5b93706796a8"
19,"Musée Lorrain","48.69731167308772, 6.179347757302961","https://media-cdn.tripadvisor.com/media/photo-s/1a/aa/52/81/portale.jpg","19.jpg","2cc848c1-7305-4c6d-8016-beda8ef6a6ee"
20,"Porte de la Craffe","48.69886592647276, 6.177797656113235","https://i.pinimg.com/originals/ca/dd/5a/cadd5a34c4f64319dbb15b576d1e7369.jpg","20.jpg","8707d5fc-a326-4f95-834d-33360abf745f"
21,"Tour de la Commanderie Nazet-Moutaux","48.68656598542592, 6.167354816776893","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/1c/a5/8f/up-some-steps.jpg?w=1200&h=-1&s=1","21.jpg","2227dad0-ac3e-4895-85c1-a4ce18c5e217"
22,"Campus Lettres et Sciences Humaines de Nancy - Université de Lorraine","48.69558101980567, 6.1659993577656484","https://cdn-s-www.estrepublicain.fr/images/5ED2BEB3-6BEB-4C0B-8797-28AF345C4C4B/NW_raw/title-1607632070.jpg","22.jpg","96aff223-0f6f-4e22-bccd-e0429932a82b"
23,"Faculté de Droit, Sciences Économiques et Gestion","48.69312298902564, 6.176641345874096","https://live.staticflickr.com/65535/48864028882_580f6e3ff6_b.jpg","23.jpg","ec2f3cab-126a-4f78-9d5c-b5e259032058"
24,"Stade Marcel Picot","48.69542492463427, 6.210536520303652","https://th.bing.com/th/id/R.5228ad9f481c3985cc289b82e7ee9669?rik=AGJxuyX3ya272A&riu=http%3a%2f%2fwww.ostadium.com%2fgalleries%2fstade-marcel-picot-vue-aerienne-illus.jpg&ehk=s5JHg2RJq625D3pzyEzQoJquUrRUZ4HKasOuMOXKW%2f0%3d&risl=&pid=ImgRaw&r=0&sres=1&sres","24.jpg","2f082be7-387d-4a7d-961c-3e2b813fdffb"
